image_id,Image,GT ETT,Pred ETT,GT Carina,Pred Carina,Tip Prediction Error,Carina Prediction Error,GT Tip-Carina Distance,Pred Tip-Carina Distance,Tip-Carina Error
4595864,random-id-0c221a06-4339-4af4-ad93-26eb5f5d6b91,"[628.5938758631272, 250.6722691493801]","[627.5341186523438, 252.11609649658203]","[609.0515018970345, 414.2812759113548]","[633.7898559570312, 454.7649993896485]",0.04925282055848556,1.3047056215388908,4.5312299574303845,5.575499508593175,1.0442695511627909
4595875,random-id-0f846792-b59f-40f6-8e83-dbe3f67c61e3,"[617.0221752903908, 505.5121436114045]","[619.82861328125, 501.06776428222656]","[625.1319957761353, 583.907074973601]","[629.6846313476562, 609.7416381835938]",0.14454802013512652,0.7213974666172291,2.167365435042817,3.000797172485511,0.833431737442694
4595885,random-id-1c85cf87-2907-476f-a3e6-20e4acb4e6ef,"[591.8829305209396, 360.8302100979043]","[650.9630737304688, 263.15010833740234]","[607.316707523657, 531.9635609809776]","[616.0586547851562, 523.8225708007812]",3.139322914453111,0.32850400423228715,4.725267093047283,7.232471305242258,2.5072042121949742
4595892,random-id-1d16c8f9-0bf3-4f9e-a24e-ab2599aae5f2,"[665.9164515766797, 417.118516440553]","[671.6024780273438, 427.6433715820313]","[661.2514902928775, 633.2617225900632]","[659.56640625, 634.94482421875]",0.32897112504516646,0.06549585188248028,5.945322393924832,5.710390679489394,0.23493171443543837
4595908,random-id-02b04ce3-90d4-4792-9b09-3cd17ccf5be6,"[660.9690618692684, 335.8716833464739]","[659.4971313476562, 261.4859619140625]","[616.4224163596161, 609.4732481124187]","[633.0510864257812, 609.3719482421875]",2.046007786565969,0.45729691195794253,7.623118048120496,9.594467932692963,1.9713498845724668
4595918,random-id-2d40fb67-c162-45fb-bc8a-c1b76af691e8,"[706.2302006335799, 311.5522703273496]","[714.3755493164062, 328.5262451171875]","[670.4118268215418, 535.9239704329461]","[660.7194213867188, 549.9509887695312]",0.5177473175029232,0.4688729568728732,6.24834953258087,6.2654087840875805,0.017059251506710282
4595929,random-id-2f802e43-2590-47c3-915b-5b00a034d998,"[622.1274854449553, 328.95128570376073]","[631.094482421875, 270.42364501953125]","[603.5442518271545, 465.894794765662]","[604.4568481445312, 464.27349853515625]",1.628290711951512,0.05116355234506268,3.8004623162448747,5.380965783097548,1.5805034668526736
4595933,random-id-3a62f3cf-6b61-43b6-b4f7-408ce9528376,"[633.9176346356917, 387.9197465681099]","[639.54052734375, 431.9027099609375]","[617.0221752903909, 617.0221752903908]","[619.650634765625, 623.1080932617188]",1.2193755495584597,0.18230487529082146,6.317425754681116,5.2865205227695204,1.0309052319115954
4595939,random-id-3bfbff40-c938-42fa-8435-15539c6e7c10,"[612.9672650475186, 302.7666314677931]","[616.32568359375, 293.8065185546875]","[617.697993664203, 476.4519535374868]","[620.4395141601562, 493.8359069824219]",0.2631429557320034,0.4839670082547828,4.7781177507331885,5.501971385467785,0.7238536347345965
4595953,random-id-3f08ea3b-bf1c-4c1d-9e6e-e0e6766aa68a,"[627.9833725212518, 179.93483367078514]","[629.388916015625, 169.91600036621094]","[651.1582969445519, 478.63385957109625]","[620.7140502929688, 432.3639221191406]",0.2782159836488307,1.523152305222685,8.23890936679966,7.221259393388516,1.0176499734111442
