image_id,Image,GT ETT,Pred ETT,GT Carina,Pred Carina,Tip Prediction Error,Carina Prediction Error,GT Tip-Carina Distance,Pred Tip-Carina Distance,Tip-Carina Error
4595868,random-id-0d25e8b8-f0ff-4a91-9079-1729a7731653,"[534.1153118227052, 298.4491590097377]","[515.256591796875, 356.56610107421875]","[506.73918007265166, 588.4874141457309]","[495.2711791992188, 588.2504272460938]",1.6602060709658688,0.3116736141941665,7.915911139179594,6.318675883254539,1.5972352559250558
4595869,random-id-0e8dd639-45bb-4421-991e-2d3d420c318f,"[673.7104432640784, 564.8330651310907]","[683.1259155273438, 578.4785766601562]","[705.5692900180136, 588.3138083110753]","[722.7027587890625, 611.8311767578125]",0.42280070991909285,0.7420477214332925,1.009319805556379,1.319929772914973,0.31060996735859403
4595873,random-id-0f01103b-9256-4643-8e8f-6bb843f53f49,"[712.1756042185905, 448.8935259369392]","[719.2534790039062, 453.4985961914063]","[753.9375890494731, 403.9539987819677]","[759.0657958984375, 414.6269836425781]",0.2294422850484504,0.32174427191215194,1.6669506787497552,1.511895191807666,0.15505548694208926
4595876,random-id-01d0bc2d-8e49-480f-b234-bb97c7f9e746,"[597.0466262861223, 208.8291126997969]","[593.564697265625, 235.1993560791016]","[629.1321531740733, 545.0635906349335]","[632.3631591796875, 533.7666015625]",0.7227481582565433,0.3192682153318772,9.177624291332949,8.180842889968538,0.9967814013644105
4595877,random-id-01f9fc91-a0b7-4574-b044-34ff01e0a860,"[639.9206838708585, 143.08876018754083]","[603.8267822265625, 306.0673828125]","[597.204490705261, 412.2761813825534]","[595.94482421875, 401.4177856445313]",4.535734052202518,0.297021677531716,7.4058459857715135,2.599686032610907,4.8061599531606065
4595888,random-id-1d00c662-d881-4662-aae1-efd3e021a9ab,"[555.7045220131944, 417.08901421449815]","[585.078857421875, 370.1224060058594]","[588.6585723339356, 531.9288865443532]","[607.1415405273438, 525.8147583007812]",1.505212464333745,0.5289818206338165,3.246347266683918,4.272717560795199,1.0263702941112807
4595895,random-id-1dcb315f-c8f2-4ed6-bf1f-6fe1cde77439,"[497.5296600586653, 313.09391088694315]","[510.30442810058594, 316.6325988769531]","[520.5506381213035, 531.898115184499]","[522.6407470703125, 535.81298828125]",0.3381147817314742,0.11319647309325728,5.611816559755191,5.599454959818822,0.012361599936368428
4595910,random-id-2a0eaf99-f5ad-441a-9b87-eba54f9eb011,"[530.1895967371305, 346.8079176303904]","[511.2747497558594, 352.2348937988281]","[562.1515063785992, 357.88571654253246]","[552.3360748291016, 357.6754455566406]",0.534688033810637,0.26676487035191504,0.9191491877202479,1.1254641859808452,0.2063149982605973
4595923,random-id-2e25ab1f-27be-4a19-96d4-9b825bc788c9,"[679.9812331711363, 340.5903764100216]","[677.2761840820312, 336.6444396972656]","[707.1668329443612, 368.656252102796]","[712.0416870117188, 377.4691467285156]",0.1299932349970979,0.2736564151838205,1.06170436457727,1.4570047107925308,0.3953003462152609
4595936,random-id-3b1796c4-31c9-46e4-b787-a74f8d68be20,"[499.7387373123163, 548.0222735366556]","[499.9305877685547, 549.3970336914062]","[508.15092813879227, 592.6442878233462]","[510.3997497558594, 595.7920532226562]",0.037413151946795724,0.10426932559561157,1.2238882863411036,1.281932445304983,0.05804415896387938
4595941,random-id-3c4c0804-aad3-484a-a837-0debc878794f,"[620.0498800896524, 438.293898999697]","[626.1294555664062, 432.8283081054688]","[652.3434771366952, 459.52920521715066]","[657.8253173828125, 464.6126098632813]",0.22213555697206455,0.20313875345751575,1.0501902059979231,1.2196720421038016,0.16948183610587852
4595948,random-id-3edfe50a-77b3-44b1-98f7-cd6bf1bfb670,"[557.5127541424247, 531.5103646035911]","[556.3638305664062, 522.8231048583984]","[560.3774571390574, 569.7655673313382]","[551.7129516601562, 584.3230590820312]",0.238104564296814,0.4603161202036859,1.0423759736495675,1.6758406823863374,0.63346470873677
4595974,random-id-4c795207-81a6-4bba-ac96-b59cc31ca19c,"[514.5780518330839, 620.9627400103789]","[533.39501953125, 615.84716796875]","[522.4169235935162, 662.396776458378]","[563.1524047851562, 543.2920532226562]",0.5298497166673678,3.4203459913908847,1.1458116750846328,2.1308271435990918,0.985015468514459
