image_id,Image,GT ETT,Pred ETT,GT Carina,Pred Carina,Tip Prediction Error,Carina Prediction Error,GT Tip-Carina Distance,Pred Tip-Carina Distance,Tip-Carina Error
4595871,random-id-0ed58be2-ade9-4c0b-a4e3-f3fd4e345a7c,"[617.7009524675096, 449.2192599998039]","[1260.213623046875, 1.2696589827537537]","[613.9844445454278, 611.5067725973732]","[1127.61328125, 135.95770263671875]",21.233432062615407,18.975816974346614,4.400666536832359,5.1238669259643475,0.7232003891319883
4595879,random-id-1a281605-a868-45bc-b55a-e33213fc700f,"[606.2781092033158, 510.6311681668261]","[643.6649169921875, 1.7848635911941528]","[626.3675985652067, 573.5309611301034]","[560.5482788085938, 322.6855697631836]",13.831689169087184,7.030459471366511,1.790034214952276,8.986487481949897,7.196453266997621
4595887,random-id-1cf89cd9-1cc3-4467-a829-f984392aa31d,"[634.16632429618, 286.446137901959]","[847.9487915039062, 268.3163146972656]","[635.1386035801501, 467.76236400434766]","[658.9207763671875, 596.9579315185547]",5.683894585104537,3.48017879868537,4.803532519256986,10.043890317621972,5.240357798364986
4595891,random-id-1d9a63d5-51ce-4dd3-8d6a-8461d271a860,"[686.008886213793, 387.6969202376798]","[368.3125305175781, 150.54493713378906]","[703.21919179523, 584.898338358314]","[466.6543731689453, 126.62873840332033]",10.747492401730684,13.981026157132936,5.366327584267707,2.743691425965858,2.6226361583018494
4595900,random-id-1e163a60-06b8-4dab-8b49-d900ed8cd4d6,"[707.1933280913255, 460.3535891444351]",,"[673.6913870496838, 678.3563483334863]","[688.384765625, 677.6738891601562]",,0.4289805831253457,6.432483108437706,,
4595903,random-id-1ecdc318-671e-47dc-b00b-d2fa26e319f7,"[693.8244862685262, 278.13866646075525]","[715.8977661132812, 289.0838317871094]","[659.1460391585492, 623.5985597928136]","[749.7698364257812, 422.55540466308594]",0.5793757177463986,5.185769726111024,8.164533314114054,3.2381603009281537,4.9263730131859
4595915,random-id-2caf76ca-910d-4c20-8d94-85f6994406b0,"[533.0602423918879, 396.351329831166]","[1057.7611083984375, 531.1619873046875]","[562.8189584755698, 551.8700136427829]","[566.6663055419922, 570.97607421875]",13.441985228204485,0.48358514111626594,3.9288180350741904,12.225269248428999,8.296451213354809
4595930,random-id-2fd2ff40-5610-41da-8a4a-76eebdda0650,"[702.429195483598, 680.5631320908658]","[694.3718872070312, 678.6624145507812]","[709.4009838117157, 771.5132798258537]","[741.5069580078125, 710.1173706054688]",0.22442394837511778,1.8782417492600922,2.472834985098201,1.5362022339128965,0.9366327511853045
4595935,random-id-3b2f3f19-3675-4ac5-9d6d-a5c1edc92ec0,"[549.0038209044784, 560.6225201224283]","[515.2266845703125, 181.21437072753903]","[560.0165851615307, 587.283658401918]","[605.4876861572266, 600.0775299072266]",10.364882865714167,1.285354415286654,0.7849293231565245,11.659288015935486,10.874358692778962
4595937,random-id-3b686325-b948-49d5-9a1a-e0fb4c0ddb35,"[650.8153224804162, 512.8576392611236]",,"[650.6927671335689, 524.1734909071185]","[650.9588623046875, 550.3083038330078]",,0.5852051261678406,0.25338385014379106,,
4595943,random-id-3c51863d-842e-49bf-ab88-3f23f4dce4cb,"[560.9252113211542, 216.1907239993517]","[563.856201171875, 214.53070068359372]","[511.7549118332936, 583.4144224730259]","[521.1970672607422, 585.258056640625]",0.09131626642704406,0.2608047077573494,10.044049525114382,10.1165044581641,0.07245493304971795
4595945,random-id-3d729581-ae13-4c3d-b3c5-e7462bfdf186,"[543.2394220112798, 569.9869615504115]","[862.7506103515625, 1.6192493438720703]","[531.6239804345042, 713.3797218694813]","[574.8997039794922, 712.3551025390625]",16.0967281381553,1.0686688355112284,3.551604034879434,18.930718801485895,15.379114766606461
4595946,random-id-3deca584-0300-41dc-979a-3ccd832e86e5,"[478.5419665818218, 431.6959946275401]","[1184.0694580078125, 297.86590576171875]","[490.3038100758613, 590.4808817970729]",,21.73399658704072,,4.818890242128057,,
4595963,random-id-4ad9fd24-d423-4da7-9fdb-e82460ad7074,"[522.1864864864864, 527.9135135135135]","[570.1735229492188, 286.9884948730469]","[556.9729729729729, 620.627027027027]","[603.7240142822266, 660.2252807617188]",6.026286194421017,1.5029633556376234,2.4292001698100427,9.19288206923365,6.763681899423608
4595965,random-id-4af8b984-2a78-4b63-ad3c-857a87b4b778,"[588.1917559702304, 303.00847219076354]","[592.4909057617188, 301.07061767578125]","[595.3915403481794, 588.1349365657582]","[981.0545349121094, 131.30674743652344]",0.1287979690930689,16.32885389854631,7.789998912144674,11.581320168460008,3.7913212563153342
4595986,random-id-05a27e04-acaf-496e-bb5f-37b0ca273165,"[728.3508887584486, 214.24013142721236]","[728.6001586914062, 212.73538208007807]","[682.2512890072366, 497.85288641836576]","[625.799560546875, 607.7775268554688]",0.04134873893356067,3.349979984301723,7.7894706459541405,11.066014304107709,3.2765436581535683
4595991,random-id-5b662916-9b08-451e-b7c6-16b91637c97c,"[675.7864864864865, 321.7297297297297]","[2.6573097705841064, 603.68408203125]","[638.6162162162162, 498.1621621621622]","[515.5462036132812, 157.19398498535156]",19.932533484284413,9.90075396945999,4.924590854017748,18.572669179828008,13.64807832581026
