image_id,Image,GT ETT,Pred ETT,GT Carina,Pred Carina,Tip Prediction Error,Carina Prediction Error,GT Tip-Carina Distance,Pred Tip-Carina Distance,Tip-Carina Error
4717701,random-id-000cd5f2-99be-4ea0-a830-c4cef2fba9d1,"[567.4412336095694, 303.7330764961104]","[561.5107421875, 313.97918701171875]","[574.4871554684134, 377.3949868385703]","[573.1008911132812, 389.1294860839844]",0.32397191237680556,0.3233549409422657,2.025004855620828,2.0808492677755286,0.055844412154700596
4717704,random-id-0a85e554-659f-4031-8122-3a7f93ab44e2,"[628.146805679088, 308.8038427451912]","[633.7256469726562, 304.9148254394531]","[598.7201538967134, 479.24912449764713]","[600.4412841796875, 480.5229949951172]",0.18610219740560305,0.0585971808681749,4.733345219462969,4.891185629223846,0.157840409760877
4717712,random-id-0d7e5964-a40c-47b1-97c2-c71e397e42c1,"[604.2011470552297, 265.74562825998134]","[589.8038940429688, 299.5875244140625]","[560.408380681818, 555.4034972726892]","[561.985595703125, 554.263916015625]",1.0064282323871743,0.05324884197073231,8.016749800228613,7.01083183773276,1.005917962495853
4717716,random-id-0e2468f4-52f2-4a6e-8965-89b31fc39ecc,"[406.1911121606242, 340.4707399275701]","[413.6183166503906, 340.0648498535156]","[431.0237546513725, 466.0441556498313]","[423.4211120605469, 484.6146545410156]",0.20355337229928014,0.5491317557315385,3.5029435457139986,3.9647814672799835,0.4618379215659849
4717719,random-id-0f2da790-bbbf-4b8a-94f4-84baf4d67e17,"[559.1571587854351, 156.26371232645252]","[576.7835083007812, 167.2989501953125]","[551.649827407136, 470.3204083186325]","[556.4189910888672, 475.1975402832031]",0.5690896527676447,0.18667155436488658,8.596812912397937,8.444246843206136,0.15256606919180093
4717725,random-id-1a453bbb-23d5-4915-82f8-61d6c1f766f0,"[717.4671076647711, 269.9863958933344]","[722.1243896484375, 258.43121337890625]","[708.5772556109442, 373.8013275169944]","[718.5731811523438, 394.18115234375]",0.34093276778669074,0.6211790649280752,2.851357550670167,3.716152830545295,0.8647952798751279
4717726,random-id-1a1711eb-4eba-44b8-9a35-78b45bdd5a20,"[619.215809811828, 401.5032040175572]","[635.4092407226562, 410.9578552246094]","[623.595086449169, 504.1033995209784]","[629.5767211914062, 503.1605682373047]",0.5131457012900288,0.16571210104927236,2.8102749072786604,2.5282281156513933,0.2820467916272671
4717732,random-id-1cd4947a-dd96-491c-8973-8831991b200d,"[528.4578195860254, 192.65445395880576]","[519.9827880859375, 364.227294921875]","[542.3134489519008, 499.9107804890667]","[539.79345703125, 507.7274475097656]",4.7009226214211015,0.22474933589952245,8.416806299935748,3.964216249657207,4.452590050278541
4717736,random-id-1eefcdf4-3341-45a4-bf65-7121f6648a31,"[674.2563041761392, 506.1584242887327]","[655.8389892578125, 490.4385986328125]","[685.7175237872539, 609.9461352116043]","[676.7607421875, 597.1402587890625]",0.662627068627468,0.42765249714514597,2.857480836053765,2.9755589279971812,0.11807809194341612
4717738,random-id-1fce84a4-7d57-4ebd-9acc-5e2c221e284c,"[614.2410360164359, 375.1023865263127]","[632.2864990234375, 368.0061340332031]","[607.9470571071782, 510.1698307793105]","[616.4265747070312, 502.921630859375]",0.5306360054188562,0.3052691840749351,3.700215909332598,3.717469675824336,0.01725376649173782
4717740,random-id-02ba2094-0598-478b-9cb4-147cbae42cd6,"[564.7379834477102, 522.7135192825649]","[579.8721923828125, 524.0147094726562]","[614.9602551974696, 576.7430539530188]","[613.4579467773438, 570.117919921875]",0.41568499314260104,0.18590371932933544,2.0186609369594675,1.560922611092401,0.4577383258670664
4717742,random-id-2b1a45e8-8f7c-4f0e-8ac0-65511d44419e,"[579.0221404685846, 454.5733311793287]","[592.2791748046875, 441.9115905761719]","[585.299253606487, 588.6462189560831]","[588.026123046875, 581.7244262695312]",0.5016714221998548,0.2035881685650572,3.6730073558886422,3.827835452320288,0.15482809643164597
4717762,random-id-3b26b765-898c-46e2-9a8b-42056379d14f,"[655.6673871148153, 489.8547537141678]","[652.9242553710938, 496.1257629394531]","[655.0502883472263, 525.9596693152248]","[665.6661987304688, 530.9994049072266]",0.1873103137947989,0.3215856702787891,0.9881778877583801,1.0160455337038155,0.027867645945435338
4717769,random-id-3ebe6d13-65c3-4eae-aeaf-3d0a7d788af4,"[581.6325995904286, 376.1060160648485]","[576.6732788085938, 387.58984375]","[567.9647613161528, 520.946704661085]","[574.219482421875, 533.4631805419922]",0.34231450286250487,0.3829072966773043,3.9812644078326143,3.9924797685533187,0.011215360720704393
4717781,random-id-4da99087-f8b7-452d-ad04-d3c55184cdc9,"[730.1521989631933, 301.766674557188]","[747.2767333984375, 304.38104248046875]","[660.8848812965053, 552.0033027331913]","[661.3633422851562, 568.9744873046875]",0.4740533556155256,0.46461160407813956,7.105390143596285,7.612898587067347,0.5075084434710622
4717787,random-id-05de3997-6d47-4050-987a-b0903666de32,"[569.7800210351938, 454.89915958549904]","[583.4480590820312, 458.3594055175781]","[561.1085959420843, 639.1276525937864]","[566.1587066650391, 625.3068237304688]",0.3858345120849691,0.4026737380172117,5.047109460111146,4.593054371437845,0.454055088673301
4717805,random-id-6ab093b4-5c60-4d46-b965-24ef4a8fe468,"[639.235360153959, 387.73976315734205]","[655.92626953125, 393.5440673828125]","[678.6488498900293, 552.2754425317312]","[675.5472412109375, 553.5222778320312]",0.4835873767244633,0.09147888704106134,4.630002779417306,4.410708068857633,0.21929471055967298
4717817,random-id-6f62a5f0-b537-493c-97cf-12f50cf9a4bb,"[598.3057056212285, 391.5617858166386]","[608.3558959960938, 403.92193603515625]","[648.731052599229, 552.082473696607]","[653.9025268554688, 559.4435577392578]",0.4359470667436642,0.24618373031964627,4.6043919981426855,4.434706586048682,0.16968541209400367
4717822,random-id-07f36603-669f-42ad-a355-8260caec10f7,"[539.5224697825377, 470.6233327462928]","[536.9996337890625, 461.44622802734375]","[533.2021034435168, 557.0016727129126]","[538.595458984375, 559.0783843994141]",0.26045398379653456,0.15815583024706384,2.3701166457468226,2.672121860792689,0.3020052150458663
4717823,random-id-7a0becbc-fdf9-4625-8459-a3fe9f1248c7,"[480.05230521002966, 443.7584508504418]","[507.0390319824219, 438.2536010742188]","[466.1102933507477, 659.0729453430489]","[472.8023376464844, 635.07470703125]",0.7537164779798161,0.681782514626081,5.904555239741444,5.467012141381724,0.43754309835972016
4717834,random-id-7da4712b-8a11-42d9-b549-dbb46d283600,"[470.743958972037, 324.6810363491461]","[481.3540344238281, 327.720703125]","[450.32695749198695, 500.2139576216952]","[457.4937133789063, 514.3558349609375]",0.3020318073849276,0.4338595973361514,4.8359527493414225,5.148956143333694,0.31300339399227184
4717858,random-id-8e467691-a908-42ed-93f9-58199d607f3e,"[735.6614743695854, 705.6612413230142]","[731.2373657226562, 665.7952880859375]","[760.5291321691743, 679.8994624130889]","[751.96875, 692.033447265625]",1.097653934747339,0.4063714516613736,0.9798535767906775,0.9151055552935846,0.06474802149709291
